year,city,country,avg_temp
1880,Delhi,India,25.4500000000000000
1881,Delhi,India,25.0900000000000000
1882,Delhi,India,24.8900000000000000
1883,Delhi,India,24.8200000000000000
1884,Delhi,India,24.6700000000000000
1885,Delhi,India,24.3800000000000000
1886,Delhi,India,24.8900000000000000
1887,Delhi,India,24.9000000000000000
1888,Delhi,India,24.8800000000000000
1889,Delhi,India,25.2100000000000000
1890,Delhi,India,25.0600000000000000
1891,Delhi,India,24.6800000000000000
1892,Delhi,India,25.4900000000000000
1893,Delhi,India,23.8400000000000000
1894,Delhi,India,24.7400000000000000
1895,Delhi,India,25.1500000000000000
1896,Delhi,India,25.8300000000000000
1897,Delhi,India,25.3900000000000000
1898,Delhi,India,25.5500000000000000
1899,Delhi,India,25.8600000000000000
1900,Delhi,India,25.5600000000000000
1901,Delhi,India,25.4900000000000000
1902,Delhi,India,25.6600000000000000
1903,Delhi,India,25.1400000000000000
1904,Delhi,India,25.0700000000000000
1905,Delhi,India,24.7500000000000000
1906,Delhi,India,25.1700000000000000
1907,Delhi,India,25.0200000000000000
1908,Delhi,India,25.1400000000000000
1909,Delhi,India,24.7500000000000000
1910,Delhi,India,24.8100000000000000
1911,Delhi,India,25.3600000000000000
1912,Delhi,India,25.2500000000000000
1913,Delhi,India,24.9400000000000000
1914,Delhi,India,25.1200000000000000
1915,Delhi,India,25.7300000000000000
1916,Delhi,India,25.0700000000000000
1917,Delhi,India,23.8400000000000000
1918,Delhi,India,25.2800000000000000
1919,Delhi,India,24.8400000000000000
1920,Delhi,India,24.9900000000000000
1921,Delhi,India,26.0400000000000000
1922,Delhi,India,25.1800000000000000
1923,Delhi,India,25.2600000000000000
1924,Delhi,India,24.9800000000000000
1925,Delhi,India,24.8500000000000000
1926,Delhi,India,24.7800000000000000
1927,Delhi,India,24.7300000000000000
1928,Delhi,India,25.6500000000000000
1929,Delhi,India,25.3900000000000000
1930,Delhi,India,25.1000000000000000
1931,Delhi,India,25.5800000000000000
1932,Delhi,India,25.6300000000000000
1933,Delhi,India,24.5200000000000000
1934,Delhi,India,24.9600000000000000
1935,Delhi,India,24.8100000000000000
1936,Delhi,India,24.7600000000000000
1937,Delhi,India,24.8100000000000000
1938,Delhi,India,25.3600000000000000
1939,Delhi,India,25.2400000000000000
1940,Delhi,India,25.0700000000000000
1941,Delhi,India,26.3000000000000000
1942,Delhi,India,25.4000000000000000
1943,Delhi,India,25.2500000000000000
1944,Delhi,India,24.9800000000000000
1945,Delhi,India,24.7800000000000000
1946,Delhi,India,25.4700000000000000
1947,Delhi,India,25.7200000000000000
1948,Delhi,India,25.4500000000000000
1949,Delhi,India,25.6000000000000000
1950,Delhi,India,24.6600000000000000
1951,Delhi,India,25.5800000000000000
1952,Delhi,India,25.8400000000000000
1953,Delhi,India,26.1400000000000000
1954,Delhi,India,25.6800000000000000
1955,Delhi,India,25.1500000000000000
1956,Delhi,India,25.3000000000000000
1957,Delhi,India,24.9100000000000000
1958,Delhi,India,25.9300000000000000
1959,Delhi,India,25.5600000000000000
1960,Delhi,India,25.5300000000000000
1961,Delhi,India,24.8000000000000000
1962,Delhi,India,25.1800000000000000
1963,Delhi,India,25.4600000000000000
1964,Delhi,India,25.0500000000000000
1965,Delhi,India,25.2600000000000000
1966,Delhi,India,25.5200000000000000
1967,Delhi,India,24.9800000000000000
1968,Delhi,India,25.0200000000000000
1969,Delhi,India,25.8000000000000000
1970,Delhi,India,25.3900000000000000
1971,Delhi,India,24.8100000000000000
1972,Delhi,India,25.4200000000000000
1973,Delhi,India,25.5600000000000000
1974,Delhi,India,25.5200000000000000
1975,Delhi,India,25.0200000000000000
1976,Delhi,India,25.3300000000000000
1977,Delhi,India,25.4100000000000000
1978,Delhi,India,25.2100000000000000
1979,Delhi,India,25.8100000000000000
1980,Delhi,India,26.0200000000000000
1981,Delhi,India,25.7900000000000000
1982,Delhi,India,25.1800000000000000
1983,Delhi,India,24.7500000000000000
1984,Delhi,India,25.5600000000000000
1985,Delhi,India,25.8600000000000000
1986,Delhi,India,25.3100000000000000
1987,Delhi,India,26.5400000000000000
1988,Delhi,India,26.1100000000000000
1989,Delhi,India,25.4300000000000000
1990,Delhi,India,25.5400000000000000
1991,Delhi,India,25.7400000000000000
1992,Delhi,India,25.5200000000000000
1993,Delhi,India,25.9200000000000000
1994,Delhi,India,25.8700000000000000
1995,Delhi,India,25.9200000000000000
1996,Delhi,India,25.5500000000000000
1997,Delhi,India,24.7100000000000000
1998,Delhi,India,25.7700000000000000
1999,Delhi,India,26.3600000000000000
2000,Delhi,India,26.0500000000000000
2001,Delhi,India,25.8600000000000000
2002,Delhi,India,26.6300000000000000
2003,Delhi,India,25.7200000000000000
2004,Delhi,India,26.2400000000000000
2005,Delhi,India,25.7200000000000000
2006,Delhi,India,26.3700000000000000
2007,Delhi,India,26.1500000000000000
2008,Delhi,India,25.6800000000000000
2009,Delhi,India,26.5500000000000000
2010,Delhi,India,26.5200000000000000
2011,Delhi,India,25.6300000000000000
2012,Delhi,India,25.8900000000000000
2013,Delhi,India,26.7100000000000000
